Observation id,MORE DLM 04_2,,,,,,,
34.342,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,chest,,,POINT
35.592,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,chest,,,POINT
35.592,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,gular pump,,,POINT
37.092,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,gular pump,,,POINT
39.573,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,exhale,,,START
40.173,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,exhale,,,STOP
40.174,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,reinhale,,lbn,POINT
74.107,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,exhale,,,START
74.841,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,exhale,,,STOP
74.842,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,bubble release,,,POINT
74.842,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,gular pump,,,POINT
74.908,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,exhale,,,START
75.374,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,exhale,,,STOP
75.375,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,reinhale,,lbn,POINT
75.776,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,exhale,,,START
75.975,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,exhale,,,STOP
75.976,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,reinhale,,lbn,POINT
82.149,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,exhale,,,START
82.216,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,gular pump,,,POINT
82.348,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,exhale,,,STOP
82.349,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,reinhale,,lbn,POINT
82.950,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,exhale,,,START
83.015,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,exhale,,,STOP
83.016,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,reinhale,,lbn,POINT
83.210,MORE DLM 04_2.MP4,87.090,29.97,MORE DLM 04,end of trial,,,POINT
